Employee_id,First_Name,Last_Name,Age,Gender,Date_of_Birth,Date_Joined,Date_Resigned,Department,Salary,Performance_level
1,Cynthia,Gomez,48,Female,1976-05-10,2021-12-15,2026-02-05,Operations,184016,Below
2,Ryan,Blair,32,Male,1992-02-07,2019-07-14,2028-06-06,Sales,101159,Exceeds
3,John,Russo,69,Female,1955-09-12,2023-02-11,2027-09-06,Marketing,52625,Outstanding
4,Donald,Salinas,52,Female,1972-12-12,2023-10-30,2026-02-10,Sales,90758,Meets
5,James,Lee,70,Female,1954-08-08,2022-12-21,2025-01-08,IT,193481,Meets
6,Anna,Frost,56,Female,1968-03-24,2022-01-13,2028-04-05,Marketing,132763,Meets
7,Theresa,Morgan,46,Male,1967-02-18,2017-02-18,2028-11-12,Sales,3449,Exceeds
8,Shawn,Johnston,41,Female,1983-09-25,2021-07-12,2027-04-02,Operations,81011,Needs Improvement
9,Connie,Smith,36,Male,1988-12-29,2022-08-11,2025-02-02,IT,8662,Needs Improvement
10,Ashley,Smith,53,Female,1971-11-20,2021-09-02,2027-05-10,Operations,69801,Meets
11,Alexis,Hall,28,Male,1996-04-09,2023-03-08,2028-06-01,Finance,87570,Below
12,Shannon,Meyer,46,Female,1978-06-10,2020-03-09,2028-02-05,Sales,34677,Below
13,Amber,Wood,30,Female,1994-04-25,2020-11-06,2027-03-07,Engineering,97891,Needs Improvement
14,Cheyenne,Taylor,49,Male,1975-01-25,2022-03-22,2027-02-07,Customer Service,45799,Below
15,Jordan,Kramer,53,Male,1971-06-14,2021-07-03,2027-01-10,Sales,95163,Meets
16,Connie,Giles,45,Female,1979-02-06,2022-12-16,2026-12-09,Operations,102793,Below
17,Rachel,Davies,20,Male,2004-08-06,2021-10-15,2025-01-01,IT,51187,Needs Improvement
18,Jacob,Terri,49,Male,1975-06-23,2020-05-14,2027-02-11,Finance,159160,Exceeds
19,Michael,Garcia,28,Male,1996-07-14,2023-03-02,2028-01-08,Finance,153802,Meets
20,Jamie,Sims,65,Male,1959-01-27,2022-03-02,2026-12-07,Marketing,79379,Meets
21,Michael,King,32,Male,1992-05-17,2023-07-25,2027-03-03,IT,103370,Below
22,Lauren,Sheppard,23,Male,1922-10-16,2020-08-19,2027-11-06,IT,103820,Meets
23,Brooke,Foster,40,Male,1984-11-16,2021-03-30,2028-01-06,Customer Service,95097,Needs Improvement
24,Stephen,Oliver,62,Male,1962-06-02,2020-05-14,2026-03-01,Engineering,34105,Exceeds
25,Karina,Kim,44,Female,1980-06-12,2022-12-10,2025-08-05,IT,35069,Meets
26,Stephanie,Martinez,24,Female,2000-04-08,2022-02-13,2028-07-07,Marketing,141568,Needs Improvement
27,Julie,Henderson,69,Male,1955-08-28,2020-04-30,2027-07-04,IT,194702,Exceeds
28,Matthew,Jones,65,Male,1959-06-05,2023-11-16,2026-03-09,Customer Service,153935,Exceeds
29,Katie,Jones,33,Female,1991-03-01,2023-08-08,2026-02-01,Finance,153950,Exceeds
30,King,Smith,22,Female,2002-09-18,2020-11-19,2028-10-10,Engineering,54866,Exceeds
31,Joshua,Taylor,32,Male,1992-11-29,2020-08-21,2027-02-02,Operations,146611,Needs Improvement
32,Leah,Timothy,58,Female,1966-07-27,2023-05-16,2026-12-08,Operations,144333,Meets
33,Ashley,Brock,22,Male,2002-04-12,2020-09-23,2026-03-08,Engineering,62101,Exceeds
34,Michael,Lopez,41,Male,1983-08-24,2020-04-24,2026-03-07,Marketing,166910,Outstanding
35,Edward,Dunn,63,Male,1961-04-28,2021-02-16,2025-05-12,Operations,112906,Outstanding
36,Jodi,Lamb,57,Female,1967-12-27,2023-01-20,2026-04-07,Customer Service,78523,Meets
37,Robert,Mcdonald,22,Male,2002-09-08,2023-10-26,2028-03-02,Finance,10296,Below
38,Jeffrey,Kim,45,Female,1979-07-31,2022-10-01,2028-03-03,Engineering,129361,Exceeds
39,Stephanie,Francis,27,Male,1997-02-24,2022-09-17,2025-01-01,Finance,177965,Exceeds
40,Alexis,Parker,57,Female,1967-07-22,2021-04-23,2025-07-04,Marketing,127234,Meets
41,Wells ,Ross,52,Male,1972-05-31,2023-08-25,2025-01-01,Operations,194386,Meets
42,Michele,Mills,30,Male,1994-07-28,2021-10-31,2028-08-05,Finance,189561,Outstanding
43,Anna,Smith,32,Female,1992-09-02,2021-11-23,2028-02-04,IT,96436,Meets
44,Curtis,Bell,20,Male,2004-08-20,2020-09-02,2026-04-01,Sales,191826,Below
45,Jeffrey,Mccoy,42,Female,1982-10-09,2019-05-15,2026-01-03,Customer Service,121092,Exceeds
46,Courtney,Johnston,58,Female,1966-09-02,2020-09-27,2025-04-06,Finance,4117,Needs Improvement
47,Sara,Mendez,25,Female,1999-11-10,2023-10-22,2025-02-07,HR,7780,Outstanding
48,Mercedes,Henry,46,Female,1978-06-01,2021-08-18,2026-09-05,Marketing,183038,Meets
49,Diane,Chandler,24,Male,2000-02-18,2021-07-19,2028-03-12,Customer Service,50006,Outstanding
50,Megan,Peters,34,Male,1990-05-10,2021-02-05,2025-01-05,Operations,199538,Exceeds
51,Cory,Tucker,55,Male,1969-05-30,2021-11-25,2028-07-06,HR,88393,Outstanding
52,Brian,Olson,18,Female,2006-04-13,2020-05-15,2025-05-03,Sales,96461,Below
53,Jackie,Peterson,40,Male,2023-04-26,2022-08-05,2027-04-12,HR,103223,Outstanding
